COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
"10015","花蓮縣","10015070","光復鄉","10015070-009","大富村",8,5,3,189,117,72,90,36,54,"114Y12M"
"10015","花蓮縣","10015070","光復鄉","10015070-010","大豐村",22,14,8,244,147,97,129,61,68,"114Y12M"
"10015","花蓮縣","10015070","光復鄉","10015070-011","東富村",69,40,29,680,395,285,266,125,141,"114Y12M"
"10015","花蓮縣","10015070","光復鄉","10015070-012","西富村",54,26,28,579,326,253,302,147,155,"114Y12M"
"10015","花蓮縣","10015070","光復鄉","10015070-013","南富村",43,23,20,525,277,248,266,131,135,"114Y12M"
"10015","花蓮縣","10015070","光復鄉","10015070-014","北富村",76,36,40,600,342,258,249,120,129,"114Y12M"
"10015","花蓮縣","10015080","豐濱鄉","10015080-001","豐濱村",125,74,51,1105,662,443,413,186,227,"114Y12M"
"10015","花蓮縣","10015080","豐濱鄉","10015080-002","新社村",44,22,22,413,240,173,153,76,77,"114Y12M"
"10015","花蓮縣","10015080","豐濱鄉","10015080-003","磯崎村",25,13,12,273,147,126,100,51,49,"114Y12M"
"10015","花蓮縣","10015080","豐濱鄉","10015080-004","港口村",59,35,24,497,285,212,226,107,119,"114Y12M"
"10015","花蓮縣","10015080","豐濱鄉","10015080-005","靜浦村",37,25,12,416,273,143,196,95,101,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-001","瑞穗村",156,74,82,1172,656,516,530,247,283,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-002","瑞美村",205,101,104,1308,688,620,565,258,307,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-003","瑞良村",27,11,16,341,186,155,172,88,84,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-004","瑞祥村",57,30,27,559,306,253,286,139,147,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-005","瑞北村",64,30,34,404,221,183,157,74,83,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-006","舞鶴村",58,25,33,618,336,282,272,139,133,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-007","鶴岡村",81,47,34,577,352,225,231,118,113,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-008","奇美村",21,9,12,232,139,93,71,34,37,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-009","富源村",57,36,21,469,279,190,225,110,115,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-010","富民村",61,26,35,581,325,256,248,119,129,"114Y12M"
"10015","花蓮縣","10015090","瑞穗鄉","10015090-011","富興村",32,14,18,354,212,142,197,106,91,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-001","吳江村",29,16,13,296,176,120,123,61,62,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-002","東里村",104,52,52,669,392,277,277,129,148,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-003","萬寧村",61,31,30,407,222,185,191,105,86,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-004","新興村",56,25,31,370,206,164,168,88,80,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-005","竹田村",89,44,45,721,391,330,311,144,167,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-006","羅山村",43,23,20,306,163,143,117,52,65,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-007","石牌村",95,47,48,656,355,301,235,110,125,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-008","明里村",31,15,16,261,157,104,105,52,53,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-009","富里村",145,83,62,895,467,428,379,163,216,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-010","永豐村",30,13,17,291,170,121,124,65,59,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-011","豐南村",47,32,15,429,229,200,177,90,87,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-012","富南村",42,22,20,292,160,132,148,73,75,"114Y12M"
"10015","花蓮縣","10015100","富里鄉","10015100-013","學田村",55,20,35,431,240,191,180,97,83,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-001","崇德村",284,162,122,1312,678,634,224,96,128,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-002","富世村",383,201,182,1773,908,865,311,138,173,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-003","秀林村",368,186,182,1749,854,895,280,124,156,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-004","水源村",308,163,145,1170,615,555,166,69,97,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-005","銅門村",213,112,101,1095,573,522,203,94,109,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-006","文蘭村",225,120,105,1066,554,512,170,79,91,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-007","景美村",373,204,169,1720,871,849,284,135,149,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-008","佳民村",181,106,75,972,500,472,192,84,108,"114Y12M"
"10015","花蓮縣","10015110","秀林鄉","10015110-009","和平村",324,172,152,1585,812,773,247,112,135,"114Y12M"
"10015","花蓮縣","10015120","萬榮鄉","10015120-001","西林村",163,88,75,919,491,428,170,78,92,"114Y12M"
