school_name,amenity,縣市,鄉鎮市區,縣市及鄉鎮市區,村里,longitude,latitude,geometry,debrisstream_level,Avg_slope,Max_elevation,Slope_risk_level,rain_1hr,sigma_1hr,rain_1hr_rf,village_A65UP_CNT
花蓮高農畜產保健科,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,仁和村,121.58591889431229,23.9564859,POINT (309633.0542956851 2650327.8858319083),Safe,1.0525213736678605,26.31999969482422,Low,5.4905503238590505,0.3125197503769547,7.051666666666667,1022.0
光華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,光華村,121.5782930821431,23.9358423,POINT (308866.270524599 2648038.4015776254),Safe,1.1209399514747098,36.349998474121094,Low,6.551428712472934,0.31518029493617533,7.888333333333334,425.0
北昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,北昌村,121.5916896474833,23.9870727,POINT (310206.1846664255 2653717.846852912),Safe,0.8965535941344501,21.25,Low,4.263148833755727,0.310896089433745,6.155,1532.0
上騰工商,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.5578327480576,23.9725551,POINT (306767.4308207791 2652095.9669603696),Medium,1.015463787393897,46.689998626708984,Low,7.781061056054943,0.31632810128039224,6.61,1236.0
吉安國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,吉安村,121.56254689158968,23.97374025,POINT (307246.64882283565 2652229.128555926),Low,1.168044149526519,42.5099983215332,Low,7.1773900439476055,0.31556515735257407,6.713333333333333,1236.0
太昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,太昌村,121.56529825617888,23.99440145,POINT (307517.4657237125 2654518.4875349062),Safe,1.4681785048735416,62.400001525878906,Low,6.591125464491126,0.32021957073210355,9.115,843.0
宜昌國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58749481962684,23.97201135,POINT (309786.28971326695 2652048.0049785245),Safe,1.5057329017661145,21.770000457763672,Low,4.88922641862777,0.31102361653569044,6.423333333333333,994.0
宜昌國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58573782748476,23.970678,POINT (309608.0989150155 2651899.591813029),Safe,0.9728289766131331,24.649999618530273,Low,5.0539676820541946,0.31117095239769205,6.895,994.0
花蓮特殊教育學校,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,宜昌村,121.58448416657691,23.97144725,POINT (309480.1629763952 2651984.257379217),Safe,0.951793591895608,24.389999389648438,Low,5.1255574642788675,0.3112280716529997,6.915,994.0
南華國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,干城村,121.5474426735913,23.9477914,POINT (305720.71278275084 2649349.243864628),Low,1.4037877317165397,76.63999938964844,Low,9.542421232378533,0.31677343663330365,6.653333333333333,308.0
吉安國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,慶豐村,121.56193564575813,23.98328775,POINT (307180.2304215996 2653286.2702144245),Safe,1.0635099844414801,49.290000915527344,Low,7.082849611628447,0.3175183407810209,6.998333333333333,1552.0
化仁國中,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,東昌村,121.59349390447528,23.96591805,POINT (310399.6398399072 2651375.724171195),Safe,1.0790505495235692,17.350000381469727,Low,4.6831180484087715,0.3120536749676904,4.625,1285.0
化仁國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,東昌村,121.59600762181704,23.9625342,POINT (310657.04952888517 2651002.0392291844),Safe,1.10675413936706,16.010000228881836,Low,4.6517551873374146,0.31320847912887145,4.52,1285.0
上騰中學第二校區,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,福興村,121.55542201284312,23.9717329,POINT (306522.4576202246 2652003.939702152),Medium,1.3929378035453748,53.29999923706055,Low,8.110892464299836,0.3166108187251162,6.155,614.0
稻香國小,school,花蓮縣,吉安鄉,花蓮縣吉安鄉,稻香村,121.5688428874438,23.96292125,POINT (307892.1971945399 2651033.4907454955),Safe,1.1171177794773974,43.91999816894531,Low,6.7467254697341374,0.3139665920419293,7.615,753.0
